7,SBM Toilet,SBM Toilet,"Ripon Building, Raja Muthiah Rd, Kannappar Thidal, Poongavanapuram, Chennai, Tamil Nadu 600001","Ripon Building, Raja Muthiah Rd, Kannappar Thidal, Poongavanapuram, Chennai, Tamil Nadu 600001",,https://goo.gl/maps/7zsFrfdKVmVhPhRa9
7,Pay and use toilets,Pay and use toilets,"Kannappar Thidal, Periyamet, Chennai, Tamil Nadu 600003","Kannappar Thidal, Periyamet, Chennai, Tamil Nadu 600003",,https://goo.gl/maps/Z6eH1Pst3nbNE4267
7,SBM Toilet,SBM Toilet,"Alagappa Rd, Purasaiwakkam, Chennai, Tamil Nadu 600001","Alagappa Rd, Purasaiwakkam, Chennai, Tamil Nadu 600001",,https://goo.gl/maps/nnPRNys3U72p1JVE9
7,SBM Toilet,SBM Toilet,"Pumping Station St, Chintadripet, Chennai, Tamil Nadu 600001","Pumping Station St, Chintadripet, Chennai, Tamil Nadu 600001",,https://goo.gl/maps/BwqMmaxtdHFzKWHKA
7,Public Toilet,Public Toilet,"Kannappar Thidal, Periyamet, Chennai, Tamil Nadu 600003","Kannappar Thidal, Periyamet, Chennai, Tamil Nadu 600003",,https://goo.gl/maps/ESFUHqMdf63d1Nxa6
7,Public Toilet,Public Toilet,"1, Play Ground First Street, Chennai - 112","1, Play Ground First Street, Chennai - 112",,
7,Public Toilet,Public Toilet,"1, Munusamy Street, Chennai - 112","1, Munusamy Street, Chennai - 112",,
7,Public Toilet,Public Toilet,"34 & 186, Demellows Road, Chennai - 12","34 & 186, Demellows Road, Chennai - 12",,
7,Public Toilet,Public Toilet,"1, Gurusamy Nagar 10th Street, Chennai - 12","1, Gurusamy Nagar 10th Street, Chennai - 12",,
7,Public Toilet,Public Toilet,"Greater Chennai Corporation Public Toilet. Raja Thottam, Pulianthope, Chennai-600012. ","Greater Chennai Corporation Public Toilet. Raja Thottam, Pulianthope, Chennai-600012. ",,
7,Public Toilet,Public Toilet,"Greater Chennai Corporation Public Toilet. Dr Ansari Street, Pulianthope, Chennai-600012. ","Greater Chennai Corporation Public Toilet. Dr Ansari Street, Pulianthope, Chennai-600012. ",,
7,Public Toilet,Public Toilet,"Greater Chennai Corporation Public Toilet. Suntharapuram, Pulianthope, Chennai-600012. ","Greater Chennai Corporation Public Toilet. Suntharapuram, Pulianthope, Chennai-600012. ",,
7,Public Toilet,Public Toilet,"Greater Chennai Corporation public Toilet
Mc Nicholas Road , Chetpet , Chennai-600031","Greater Chennai Corporation public Toilet
Mc Nicholas Road , Chetpet , Chennai-600031",,
7,Public Toilet,Public Toilet,"Greater Chennai Corporation Public Toilet 
Harrington Road , Shenoy Nagar ,
Chennai-600030","Greater Chennai Corporation Public Toilet 
Harrington Road , Shenoy Nagar ,
Chennai-600030",,
7,Public Toilet,Public Toilet,"Greater Chennai Corporation Public Toilet 
Subburayan Street , Shenoy Nagar , Chennai-600030","Greater Chennai Corporation Public Toilet 
Subburayan Street , Shenoy Nagar , Chennai-600030",,
7,Public Toilet,Public Toilet,"Neval Hospital Road, Periamet, Ch-03","Neval Hospital Road, Periamet, Ch-03",,
7,Public Toilet,Public Toilet,"Sringers Salai Periamet, Ch-03","Sringers Salai Periamet, Ch-03",,
7,Public Toilet,Public Toilet,"Allikulam Moor market, Periamet, Chennai Central Railway Station","Allikulam Moor market, Periamet, Chennai Central Railway Station",,
7,Public Toilet,Public Toilet,"Rippon Maligai, Sydams Road, Ch-03","Rippon Maligai, Sydams Road, Ch-03",,
7,Public Toilet,Public Toilet,"Egmore Railway Station, North Second Gate Way, Whennels Rd, Egmore, Ch-08","Egmore Railway Station, North Second Gate Way, Whennels Rd, Egmore, Ch-08",,
7,Public Toilet,Public Toilet,"Manikkavasagar Salai, Chetpet, Chennai – 600 031.","Manikkavasagar Salai, Chetpet, Chennai – 600 031.",,
